society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
WNAI111,Tenino,xd1141,teni1238,Tenino,Sahaptian,MonthlyMeanPrecipitation,103126.4931,,,,
Ai6,Shilluk,xd380,shil1265,Shilluk,Nilotic,MonthlyMeanPrecipitation,103203.7507,,,,
Ci9,Svan,xd585,svan1243,Svan,Kartvelian,MonthlyMeanPrecipitation,103252.158,,,,
Eg1,Chenchu,xd672,chen1255,Chenchu,Dravidian,MonthlyMeanPrecipitation,103422.2948,,,,
Af28,Gbagyi,xd206,gbar1246,Gbari,Atlantic-Congo,MonthlyMeanPrecipitation,103445.7603,,,,
Ah18,Burmawa,xd307,bogh1241,Boghom,Afro-Asiatic,MonthlyMeanPrecipitation,103445.7603,,,,
Ef7,Pahari,xd669,maha1287,Mahasu Pahari,Indo-European,MonthlyMeanPrecipitation,103721.9202,,,,
Ad23,Sangu,xd91,sang1330,Sangu (Tanzania),Atlantic-Congo,MonthlyMeanPrecipitation,103941.829,,,,
Ah14,Kamuku,xd303,cind1241,Yara,Atlantic-Congo,MonthlyMeanPrecipitation,103977.544,,,,
SCCS145,Muscogee,xd1252,cree1270,Creek,Muskogean,MonthlyMeanPrecipitation,104125.265,,,,
B18,Birhor,xd911,birh1242,Birhor,Austroasiatic,MonthlyMeanPrecipitation,104246.0578,,,,
Ac14,Bakongo,xd38,sans1272,Cimbala-Cizali,Atlantic-Congo,MonthlyMeanPrecipitation,104336.349,,,,
Nj2,Aztec,xd1301,clas1250,Classical Nahuatl,Uto-Aztecan,MonthlyMeanPrecipitation,104483.7051,,,,
B191,Chichimeca,xd1290,chic1272,Chichimeca-Jonaz,Otomanguean,MonthlyMeanPrecipitation,104512.2614,,,,
Ni5,Chichimeca,xd1290,chic1272,Chichimeca-Jonaz,Otomanguean,MonthlyMeanPrecipitation,104512.2614,,,,
Ei11,Aimol,xd698,aimo1244,Aimol,Sino-Tibetan,MonthlyMeanPrecipitation,104628.212,,,,
Ei12,Thado,xd699,thad1238,Thado Chin,Sino-Tibetan,MonthlyMeanPrecipitation,104628.212,,,,
Ei6,Purum,xd712,puru1266,Purum,Sino-Tibetan,MonthlyMeanPrecipitation,104628.212,,,,
B78,//Xegwi,xd936,xegw1238,//Xegwi,Tuu,MonthlyMeanPrecipitation,104776.5225,,,,
B162,Chimariko,xd1094,chim1301,Chimariko,,MonthlyMeanPrecipitation,104863.3476,,,,
WNAI38,Hupa,xd1096,hupa1239,Hupa,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,104863.3476,,,,
WNAI46,Chimariko,xd1094,chim1301,Chimariko,,MonthlyMeanPrecipitation,104863.3476,,,,
WNAI47,Wintu (Trinity River),xd1112,nucl1651,Nuclear Wintu,Wintuan,MonthlyMeanPrecipitation,104863.3476,,,,
